Year,Quarter,Month,Day,Sum of Unemployment,forecastValue,confidenceHighBound,confidenceLowBound,Earliest Date
2010,Qtr 1,February,5,387.869,,,,2010-02-05 00:00:00
2010,Qtr 1,February,12,387.869,,,,2010-02-12 00:00:00
2010,Qtr 1,February,19,387.869,,,,2010-02-19 00:00:00
2010,Qtr 1,February,26,387.869,,,,2010-02-26 00:00:00
2010,Qtr 1,March,5,387.869,,,,2010-03-05 00:00:00
2010,Qtr 1,March,12,387.869,,,,2010-03-12 00:00:00
2010,Qtr 1,March,19,387.869,,,,2010-03-19 00:00:00
2010,Qtr 1,March,26,387.869,,,,2010-03-26 00:00:00
2010,Qtr 2,April,2,382.397,,,,2010-04-02 00:00:00
2010,Qtr 2,April,9,382.397,,,,2010-04-09 00:00:00
2010,Qtr 2,April,16,382.397,,,,2010-04-16 00:00:00
2010,Qtr 2,April,23,382.397,,,,2010-04-23 00:00:00
2010,Qtr 2,April,30,382.397,,,,2010-04-30 00:00:00
2010,Qtr 2,May,7,382.397,,,,2010-05-07 00:00:00
2010,Qtr 2,May,14,382.397,,,,2010-05-14 00:00:00
2010,Qtr 2,May,21,382.397,,,,2010-05-21 00:00:00
2010,Qtr 2,May,28,382.397,,,,2010-05-28 00:00:00
2010,Qtr 2,June,4,382.397,,,,2010-06-04 00:00:00
2010,Qtr 2,June,11,382.397,,,,2010-06-11 00:00:00
2010,Qtr 2,June,18,382.397,,,,2010-06-18 00:00:00
2010,Qtr 2,June,25,382.397,,,,2010-06-25 00:00:00
2010,Qtr 3,July,2,379.286,,,,2010-07-02 00:00:00
2010,Qtr 3,July,9,379.286,,,,2010-07-09 00:00:00
2010,Qtr 3,July,16,379.286,,,,2010-07-16 00:00:00
2010,Qtr 3,July,23,379.286,,,,2010-07-23 00:00:00
2010,Qtr 3,July,30,379.286,,,,2010-07-30 00:00:00
2010,Qtr 3,August,6,379.286,,,,2010-08-06 00:00:00
2010,Qtr 3,August,13,379.286,,,,2010-08-13 00:00:00
2010,Qtr 3,August,20,379.286,,,,2010-08-20 00:00:00
2010,Qtr 3,August,27,379.286,,,,2010-08-27 00:00:00
2010,Qtr 3,September,3,379.286,,,,2010-09-03 00:00:00
2010,Qtr 3,September,10,379.286,,,,2010-09-10 00:00:00
2010,Qtr 3,September,17,379.286,,,,2010-09-17 00:00:00
2010,Qtr 3,September,24,379.286,,,,2010-09-24 00:00:00
2010,Qtr 4,October,1,381.388,,,,2010-10-01 00:00:00
2010,Qtr 4,October,8,381.388,,,,2010-10-08 00:00:00
2010,Qtr 4,October,15,381.388,,,,2010-10-15 00:00:00
2010,Qtr 4,October,22,381.388,,,,2010-10-22 00:00:00
2010,Qtr 4,October,29,381.388,,,,2010-10-29 00:00:00
2010,Qtr 4,November,5,381.388,,,,2010-11-05 00:00:00
2010,Qtr 4,November,12,381.388,,,,2010-11-12 00:00:00
2010,Qtr 4,November,19,381.388,,,,2010-11-19 00:00:00
2010,Qtr 4,November,26,381.388,,,,2010-11-26 00:00:00
2010,Qtr 4,December,3,381.388,,,,2010-12-03 00:00:00
2010,Qtr 4,December,10,381.388,,,,2010-12-10 00:00:00
2010,Qtr 4,December,17,381.388,,,,2010-12-17 00:00:00
2010,Qtr 4,December,24,381.388,,,,2010-12-24 00:00:00
2010,Qtr 4,December,31,381.388,,,,2010-12-31 00:00:00
2011,Qtr 1,January,7,373.104,,,,2011-01-07 00:00:00
2011,Qtr 1,January,14,373.104,,,,2011-01-14 00:00:00
2011,Qtr 1,January,21,373.104,,,,2011-01-21 00:00:00
2011,Qtr 1,January,28,373.104,,,,2011-01-28 00:00:00
2011,Qtr 1,February,4,373.104,,,,2011-02-04 00:00:00
2011,Qtr 1,February,11,373.104,,,,2011-02-11 00:00:00
2011,Qtr 1,February,18,373.104,,,,2011-02-18 00:00:00
2011,Qtr 1,February,25,373.104,,,,2011-02-25 00:00:00
2011,Qtr 1,March,4,373.104,,,,2011-03-04 00:00:00
2011,Qtr 1,March,11,373.104,,,,2011-03-11 00:00:00
2011,Qtr 1,March,18,373.104,,,,2011-03-18 00:00:00
2011,Qtr 1,March,25,373.104,,,,2011-03-25 00:00:00
2011,Qtr 2,April,1,366.756,,,,2011-04-01 00:00:00
2011,Qtr 2,April,8,366.756,,,,2011-04-08 00:00:00
2011,Qtr 2,April,15,366.756,,,,2011-04-15 00:00:00
2011,Qtr 2,April,22,366.756,,,,2011-04-22 00:00:00
2011,Qtr 2,April,29,366.756,,,,2011-04-29 00:00:00
2011,Qtr 2,May,6,366.756,,,,2011-05-06 00:00:00
2011,Qtr 2,May,13,366.756,,,,2011-05-13 00:00:00
2011,Qtr 2,May,20,366.756,,,,2011-05-20 00:00:00
2011,Qtr 2,May,27,366.756,,,,2011-05-27 00:00:00
2011,Qtr 2,June,3,366.756,,,,2011-06-03 00:00:00
2011,Qtr 2,June,10,366.756,,,,2011-06-10 00:00:00
2011,Qtr 2,June,17,366.756,,,,2011-06-17 00:00:00
2011,Qtr 2,June,24,366.756,,,,2011-06-24 00:00:00
2011,Qtr 3,July,1,364.387,,,,2011-07-01 00:00:00
2011,Qtr 3,July,8,364.387,,,,2011-07-08 00:00:00
2011,Qtr 3,July,15,364.387,,,,2011-07-15 00:00:00
2011,Qtr 3,July,22,364.387,,,,2011-07-22 00:00:00
2011,Qtr 3,July,29,364.387,,,,2011-07-29 00:00:00
2011,Qtr 3,August,5,364.387,,,,2011-08-05 00:00:00
2011,Qtr 3,August,12,364.387,,,,2011-08-12 00:00:00
2011,Qtr 3,August,19,364.387,,,,2011-08-19 00:00:00
2011,Qtr 3,August,26,364.387,,,,2011-08-26 00:00:00
2011,Qtr 3,September,2,364.387,,,,2011-09-02 00:00:00
2011,Qtr 3,September,9,364.387,,,,2011-09-09 00:00:00
2011,Qtr 3,September,16,364.387,,,,2011-09-16 00:00:00
2011,Qtr 3,September,23,364.387,,,,2011-09-23 00:00:00
2011,Qtr 3,September,30,364.387,,,,2011-09-30 00:00:00
2011,Qtr 4,October,7,351.19,,,,2011-10-07 00:00:00
2011,Qtr 4,October,14,351.19,,,,2011-10-14 00:00:00
2011,Qtr 4,October,21,351.19,,,,2011-10-21 00:00:00
2011,Qtr 4,October,28,351.19,,,,2011-10-28 00:00:00
2011,Qtr 4,November,4,351.19,,,,2011-11-04 00:00:00
2011,Qtr 4,November,11,351.19,,,,2011-11-11 00:00:00
2011,Qtr 4,November,18,351.19,,,,2011-11-18 00:00:00
2011,Qtr 4,November,25,351.19,,,,2011-11-25 00:00:00
2011,Qtr 4,December,2,351.19,,,,2011-12-02 00:00:00
2011,Qtr 4,December,9,351.19,,,,2011-12-09 00:00:00
2011,Qtr 4,December,16,351.19,,,,2011-12-16 00:00:00
2011,Qtr 4,December,23,351.19,,,,2011-12-23 00:00:00
2011,Qtr 4,December,30,351.19,,,,2011-12-30 00:00:00
2012,Qtr 1,January,6,337.875,,,,2012-01-06 00:00:00
2012,Qtr 1,January,13,337.875,,,,2012-01-13 00:00:00
2012,Qtr 1,January,20,337.875,,,,2012-01-20 00:00:00
2012,Qtr 1,January,27,337.875,,,,2012-01-27 00:00:00
2012,Qtr 1,February,3,337.875,,,,2012-02-03 00:00:00
2012,Qtr 1,February,10,337.875,,,,2012-02-10 00:00:00
2012,Qtr 1,February,17,337.875,,,,2012-02-17 00:00:00
2012,Qtr 1,February,24,337.875,,,,2012-02-24 00:00:00
2012,Qtr 1,March,2,337.875,,,,2012-03-02 00:00:00
2012,Qtr 1,March,9,337.875,,,,2012-03-09 00:00:00
2012,Qtr 1,March,16,337.875,,,,2012-03-16 00:00:00
2012,Qtr 1,March,23,337.875,,,,2012-03-23 00:00:00
2012,Qtr 1,March,30,337.875,,,,2012-03-30 00:00:00
2012,Qtr 2,April,6,333.879,,,,2012-04-06 00:00:00
2012,Qtr 2,April,13,333.879,,,,2012-04-13 00:00:00
2012,Qtr 2,April,20,333.879,,,,2012-04-20 00:00:00
2012,Qtr 2,April,27,333.879,,,,2012-04-27 00:00:00
2012,Qtr 2,May,4,333.879,,,,2012-05-04 00:00:00
2012,Qtr 2,May,11,333.879,,,,2012-05-11 00:00:00
2012,Qtr 2,May,18,333.879,,,,2012-05-18 00:00:00
2012,Qtr 2,May,25,333.879,,,,2012-05-25 00:00:00
2012,Qtr 2,June,1,333.879,,,,2012-06-01 00:00:00
2012,Qtr 2,June,8,333.879,,,,2012-06-08 00:00:00
2012,Qtr 2,June,15,333.879,,,,2012-06-15 00:00:00
2012,Qtr 2,June,22,333.879,,,,2012-06-22 00:00:00
2012,Qtr 2,June,29,333.879,,,,2012-06-29 00:00:00
2012,Qtr 3,July,6,325.68,,,,2012-07-06 00:00:00
2012,Qtr 3,July,13,325.68,,,,2012-07-13 00:00:00
2012,Qtr 3,July,20,325.68,,,,2012-07-20 00:00:00
2012,Qtr 3,July,27,325.68,,,,2012-07-27 00:00:00
2012,Qtr 3,August,3,325.68,,,,2012-08-03 00:00:00
2012,Qtr 3,August,10,325.68,,,,2012-08-10 00:00:00
2012,Qtr 3,August,17,325.68,,,,2012-08-17 00:00:00
2012,Qtr 3,August,24,325.68,,,,2012-08-24 00:00:00
2012,Qtr 3,August,31,325.68,,,,2012-08-31 00:00:00
2012,Qtr 3,September,7,325.68,,,,2012-09-07 00:00:00
2012,Qtr 3,September,14,325.68,,,,2012-09-14 00:00:00
2012,Qtr 3,September,21,325.68,,,,2012-09-21 00:00:00
2012,Qtr 3,September,28,325.68,,,,2012-09-28 00:00:00
2012,Qtr 4,October,5,312.917,,,,2012-10-05 00:00:00
2012,Qtr 4,October,12,312.917,,,,2012-10-12 00:00:00
2012,Qtr 4,October,19,312.917,,,,2012-10-19 00:00:00
2012,Qtr 4,October,26,312.917,312.917,312.917,312.917,2012-10-26 00:00:00
,,,,,313.5673911645814,318.11345577728935,309.02132655187347,2012-11-02 00:00:00
,,,,,313.60095892053533,319.2838124619344,307.91810537913625,2012-11-09 00:00:00
,,,,,313.47508581033134,320.1027585473174,306.84741307334525,2012-11-16 00:00:00
,,,,,313.27505757678847,320.7289403557863,305.82117479779066,2012-11-23 00:00:00
,,,,,313.0464897309287,321.2439156994679,304.84906376238956,2012-11-30 00:00:00
,,,,,312.7782913963868,321.65738585482364,303.89919693794997,2012-12-07 00:00:00
,,,,,312.4514478468422,321.96364772767225,302.93924796601215,2012-12-14 00:00:00
,,,,,312.0745754492094,322.1804488620359,301.9687020363829,2012-12-21 00:00:00
,,,,,311.07520777531687,321.7419088306952,300.40850671993854,2012-12-28 00:00:00
,,,,,301.99141186143686,313.19103010905604,290.7917936138177,2013-01-04 00:00:00
,,,,,303.9059918971708,315.6144286123003,292.1975551820413,2013-01-11 00:00:00
,,,,,305.3657660303104,317.56193903980426,293.16959302081654,2013-01-18 00:00:00
,,,,,306.32615644675263,318.9914194365876,293.6608934569177,2013-01-25 00:00:00
