Date,Sum of Weekly_Sales,forecastValue,confidenceHighBound,confidenceLowBound
2010-02-05 00:00:00,49750740.5,,,
2010-02-12 00:00:00,48336677.63,,,
2010-02-19 00:00:00,48276993.78,,,
2010-02-26 00:00:00,43968571.13,,,
2010-03-05 00:00:00,46871470.3,,,
2010-03-12 00:00:00,45925396.51,,,
2010-03-19 00:00:00,44988974.64,,,
2010-03-26 00:00:00,44133961.05,,,
2010-04-02 00:00:00,50423831.26,,,
2010-04-09 00:00:00,47365290.44,,,
2010-04-16 00:00:00,45183667.08,,,
2010-04-23 00:00:00,44734452.56,,,
2010-04-30 00:00:00,43705126.71,,,
2010-05-07 00:00:00,48503243.52,,,
2010-05-14 00:00:00,45330080.2,,,
2010-05-21 00:00:00,45120108.06,,,
2010-05-28 00:00:00,47757502.56,,,
2010-06-04 00:00:00,50188543.12,,,
2010-06-11 00:00:00,47826546.72,,,
2010-06-18 00:00:00,47622046.23,,,
2010-06-25 00:00:00,46609036.29,,,
2010-07-02 00:00:00,48917484.5,,,
2010-07-09 00:00:00,47899529.37,,,
2010-07-16 00:00:00,46243899.58,,,
2010-07-23 00:00:00,44888849.11,,,
2010-07-30 00:00:00,44630363.42,,,
2010-08-06 00:00:00,48204999.12,,,
2010-08-13 00:00:00,46464418.41,,,
2010-08-20 00:00:00,47060952.92,,,
2010-08-27 00:00:00,45909740.44,,,
2010-09-03 00:00:00,47194257.61,,,
2010-09-10 00:00:00,45634397.84,,,
2010-09-17 00:00:00,43080726.51,,,
2010-09-24 00:00:00,41358514.41,,,
2010-10-01 00:00:00,42239875.87,,,
2010-10-08 00:00:00,45102974.23,,,
2010-10-15 00:00:00,43149473.45,,,
2010-10-22 00:00:00,43066669.52,,,
2010-10-29 00:00:00,43602830.95,,,
2010-11-05 00:00:00,45781981.89,,,
2010-11-12 00:00:00,46124800.83,,,
2010-11-19 00:00:00,45125584.18,,,
2010-11-26 00:00:00,65821003.24,,,
2010-12-03 00:00:00,49909027.88,,,
2010-12-10 00:00:00,55666770.39,,,
2010-12-17 00:00:00,61820799.85,,,
2010-12-24 00:00:00,80931415.6,,,
2010-12-31 00:00:00,40432519,,,
2011-01-07 00:00:00,42775787.77,,,
2011-01-14 00:00:00,40673678.04,,,
2011-01-21 00:00:00,40654648.03,,,
2011-01-28 00:00:00,39599852.99,,,
2011-02-04 00:00:00,46153111.12,,,
2011-02-11 00:00:00,47336192.79,,,
2011-02-18 00:00:00,48716164.12,,,
2011-02-25 00:00:00,44125859.84,,,
2011-03-04 00:00:00,46980603.74,,,
2011-03-11 00:00:00,44627319.4,,,
2011-03-18 00:00:00,44872325.97,,,
2011-03-25 00:00:00,42876199.18,,,
2011-04-01 00:00:00,43458991.19,,,
2011-04-08 00:00:00,45887466.8,,,
2011-04-15 00:00:00,44973328.14,,,
2011-04-22 00:00:00,48676692.06,,,
2011-04-29 00:00:00,43530032.78,,,
2011-05-06 00:00:00,46861958.29,,,
2011-05-13 00:00:00,45446144.82,,,
2011-05-20 00:00:00,44046598.01,,,
2011-05-27 00:00:00,45293457.04,,,
2011-06-03 00:00:00,48771994.18,,,
2011-06-10 00:00:00,47669734.66,,,
2011-06-17 00:00:00,47447561.77,,,
2011-06-24 00:00:00,45884094.58,,,
2011-07-01 00:00:00,47578519.5,,,
2011-07-08 00:00:00,47859263.78,,,
2011-07-15 00:00:00,45515929.92,,,
2011-07-22 00:00:00,45274411.39,,,
2011-07-29 00:00:00,43683274.28,,,
2011-08-05 00:00:00,48015466.97,,,
2011-08-12 00:00:00,46249569.21,,,
2011-08-19 00:00:00,46917347.62,,,
2011-08-26 00:00:00,47416948.45,,,
2011-09-02 00:00:00,45376623.27,,,
2011-09-09 00:00:00,46763227.53,,,
2011-09-16 00:00:00,43793960.08,,,
2011-09-23 00:00:00,42718096.73,,,
2011-09-30 00:00:00,42195830.81,,,
2011-10-07 00:00:00,47211688.36,,,
2011-10-14 00:00:00,44374820.3,,,
2011-10-21 00:00:00,45818953.44,,,
2011-10-28 00:00:00,45855821.05,,,
2011-11-04 00:00:00,48655544.3,,,
2011-11-11 00:00:00,48474224.75,,,
2011-11-18 00:00:00,46438980.56,,,
2011-11-25 00:00:00,66593605.26,,,
2011-12-02 00:00:00,49390556.49,,,
2011-12-09 00:00:00,55561147.7,,,
2011-12-16 00:00:00,60085695.94,,,
2011-12-23 00:00:00,76998241.31,,,
2011-12-30 00:00:00,46042461.04,,,
2012-01-06 00:00:00,44955421.95,,,
2012-01-13 00:00:00,42023078.48,,,
2012-01-20 00:00:00,42080996.56,,,
2012-01-27 00:00:00,39834974.67,,,
2012-02-03 00:00:00,46085608.09,,,
2012-02-10 00:00:00,50009407.92,,,
2012-02-17 00:00:00,50197056.96,,,
2012-02-24 00:00:00,45771506.57,,,
2012-03-02 00:00:00,46861034.97,,,
2012-03-09 00:00:00,47480454.11,,,
2012-03-16 00:00:00,46901504.94,,,
2012-03-23 00:00:00,44993794.45,,,
2012-03-30 00:00:00,45272862.02,,,
2012-04-06 00:00:00,53502315.87,,,
2012-04-13 00:00:00,46629261.41,,,
2012-04-20 00:00:00,45072529.78,,,
2012-04-27 00:00:00,43716798.89,,,
2012-05-04 00:00:00,47124197.93,,,
2012-05-11 00:00:00,46925878.99,,,
2012-05-18 00:00:00,46823939.22,,,
2012-05-25 00:00:00,47892463.31,,,
2012-06-01 00:00:00,48281649.72,,,
2012-06-08 00:00:00,49651171.78,,,
2012-06-15 00:00:00,48412110.7,,,
2012-06-22 00:00:00,47668284.97,,,
2012-06-29 00:00:00,46597112.12,,,
2012-07-06 00:00:00,51253021.88,,,
2012-07-13 00:00:00,46099732.1,,,
2012-07-20 00:00:00,46059543.45,,,
2012-07-27 00:00:00,44097154.97,,,
2012-08-03 00:00:00,47485899.56,,,
2012-08-10 00:00:00,47403451.04,,,
2012-08-17 00:00:00,47354452.05,,,
2012-08-24 00:00:00,47447323.6,,,
2012-08-31 00:00:00,47159639.43,,,
2012-09-07 00:00:00,48330059.31,,,
2012-09-14 00:00:00,44226038.65,,,
2012-09-21 00:00:00,44354547.11,,,
2012-09-28 00:00:00,43734899.4,,,
2012-10-05 00:00:00,47566639.31,,,
2012-10-12 00:00:00,46128514.25,,,
2012-10-19 00:00:00,45122410.57,,,
2012-10-26 00:00:00,45544116.29,45544116.29,45544116.29,45544116.29
2012-11-02 00:00:00,,47166876.24871236,61437672.80137437,32896079.696050353
2012-11-09 00:00:00,,46594254.062979236,61061899.26968841,32126608.85627006
2012-11-16 00:00:00,,46360283.606995575,61022134.834141485,31698432.379849665
2012-11-23 00:00:00,,50965404.847497344,65818923.11714326,36111886.57785143
2012-11-30 00:00:00,,48380345.16117303,63423088.54682081,33337601.77552525
2012-12-07 00:00:00,,48294675.29116476,63524292.88801187,33065057.694317654
2012-12-14 00:00:00,,47503011.796293184,62917238.20328294,32088785.38930343
2012-12-21 00:00:00,,48297340.3854412,63893990.644573286,32700690.126309108
2012-12-28 00:00:00,,45672655.384251796,61449620.3295583,29895690.438945293
2013-01-04 00:00:00,,47367924.49697436,63323166.47148465,31412682.52246406
2013-01-11 00:00:00,,44748626.27222824,60880175.1763143,28617077.36814218
2013-01-18 00:00:00,,44526949.69953269,60832899.338381246,28221000.06068413
2013-01-25 00:00:00,,43620505.016219676,60099009.71793368,27142000.314505674
